S/N,action_category,action,index,segment,count
100,Life cycle,Exiting Cocoon,43,tail,14
101,Prey,Trapped,127,tail,14
103,Sensing,Having A Flehmen Response,61,tail,13
102,Maintenance,Performing allo-preening,82,tail,13
104,Aggressive,Wrapping Prey,138,tail,12
105,Sexual,Doing Push Up,35,tail,11
106,General,Tail Swishing,126,tail,11
108,Transport,Being Dragged,6,tail,10
107,Life cycle,Giving Birth,55,tail,10
109,Prey,Playing Dead,88,tail,9
112,Movement,Leaning,72,tail,8
110,Communication,Waving,136,tail,8
111,Aggressive,Wrapping Itself Around Prey,137,tail,8
113,Movement,Unmounting,130,tail,7
116,Movement,Doing somersault,36,tail,6
114,Movement,Pulling,93,tail,6
117,General,Stinging,119,tail,6
115,Movement,Swinging,125,tail,6
121,Transport,Being Carried,4,tail,5
119,Defensive,Defensive Rearing,23,tail,5
118,General,Gasping For Air,53,tail,5
120,Communication,Giving Off Light,56,tail,5
125,Movement,Abseiling,0,tail,4
124,General,Flapping its ears,49,tail,4
127,Prey,Getting Bullied,54,tail,4
128,Life cycle,Hatching,60,tail,4
126,Affection,Holding Hands,63,tail,4
123,General,Panting,79,tail,4
122,Movement,Unrolling,131,tail,4
131,Aggressive,Coiling,17,tail,3
130,Sexual,Performing sexual pursuit,86,tail,3
129,Life cycle,Undergoing Chrysalis,129,tail,3
136,Movement,Detaching As A Parasite,24,tail,2
138,Movement,Doing A Side Tilt,34,tail,2
73,Movement,Lying on its side,74,tail,2
133,Life cycle,Molting,77,tail,2
134,General,Spitting,111,tail,2
132,Social,Swimming In Circles,124,tail,2
137,Movement,Walking On Water,134,tail,2
140,Aggressive,Pounding,89,tail,1
139,Movement,Spreading,113,tail,1
